support,itemsets
0.12550066755674233,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'})
0.11621050289274588,frozenset({'JUMBO BAG RED RETROSPOT'})
0.11059190031152648,frozenset({'REGENCY CAKESTAND 3 TIER'})
0.09373609256786827,frozenset({'PARTY BUNTING'})
0.08700489541611037,frozenset({'LUNCH BAG RED RETROSPOT'})
0.08094125500667557,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'})
0.07704717400979083,frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN'})
0.07343124165554073,frozenset({'PACK OF 72 RETROSPOT CAKE CASES'})
0.07142857142857142,frozenset({'LUNCH BAG SUKI DESIGN'})
0.07081664441477525,frozenset({'LUNCH BAG BLACK SKULL.'})
0.06948153093012906,frozenset({'NATURAL SLATE HEART CHALKBOARD'})
0.06775700934579439,frozenset({'JUMBO BAG PINK POLKADOT'})
0.06681130396083668,frozenset({'HEART OF WICKER SMALL'})
0.06586559857587895,frozenset({'JUMBO STORAGE BAG SUKI'})
0.06536493101913662,frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'})
0.0646417445482866,frozenset({'JAM MAKING SET PRINTED'})
0.06453048509123276,"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS""})"
0.06436359590565198,frozenset({'LUNCH BAG SPACEBOY DESIGN'})
0.0639741878059635,frozenset({'LUNCH BAG CARS BLUE'})
0.06341789052069426,frozenset({'SPOTTY BUNTING'})
0.06297285269247886,frozenset({'JAM MAKING SET WITH JARS'})
0.06263907432131731,frozenset({'POSTAGE'})
0.06180462839341344,frozenset({'RECIPE BOX PANTRY YELLOW DESIGN'})
0.06119270137961727,frozenset({'WOODEN PICTURE FRAME WHITE FINISH'})
0.06063640409434802,frozenset({'LUNCH BAG PINK POLKADOT'})
0.0596906987093903,frozenset({'SET OF 4 PANTRY JELLY MOULDS'})
0.0592456608811749,frozenset({'ROSES REGENCY TEACUP AND SAUCER'})
0.058466844681797955,frozenset({'ALARM CLOCK BAKELIKE RED'})
0.05768802848242101,frozenset({'VICTORIAN GLASS HANGING T-LIGHT'})
0.05763239875389408,frozenset({'LUNCH BAG APPLE DESIGN'})
0.05740987983978638,frozenset({'RED RETROSPOT CHARLOTTE BAG'})
0.05657543391188251,frozenset({'LUNCH BAG WOODLAND'})
0.05635291499777481,frozenset({'GREEN REGENCY TEACUP AND SAUCER'})
0.05529595015576324,frozenset({'RABBIT NIGHT LIGHT'})
0.054850912327547845,frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS'})
0.05451713395638629,frozenset({'ALARM CLOCK BAKELIKE GREEN'})
0.05440587449933244,frozenset({'JUMBO BAG APPLES'})
0.05401646639964397,frozenset({'WOODEN FRAME ANTIQUE WHITE'})
0.05351579884290165,frozenset({'RETROSPOT TEA SET CERAMIC 11 PC'})
0.053126390743213174,frozenset({'6 RIBBONS RUSTIC CHARM'})
0.05195816644414775,frozenset({'BAKING SET 9 PIECE RETROSPOT'})
0.051902536715620826,frozenset({'JUMBO BAG BAROQUE BLACK WHITE'})
0.05151312861593235,frozenset({'VINTAGE SNAP CARDS'})
0.05145749888740543,frozenset({'HEART OF WICKER LARGE'})
0.05078994214508233,frozenset({'GARDENERS KNEELING PAD KEEP CALM'})
0.05040053404539386,frozenset({'JUMBO BAG ALPHABET'})
0.050066755674232306,frozenset({'SPACEBOY LUNCH BOX'})
0.04906542056074766,frozenset({'CHARLOTTE BAG SUKI DESIGN'})
0.04889853137516689,frozenset({'SET/5 RED RETROSPOT LID GLASS BOWLS'})
0.04889853137516689,frozenset({'JUMBO BAG VINTAGE LEAF'})
0.04856475300400534,frozenset({'SET OF 3 REGENCY CAKE TINS'})
0.04845349354695149,frozenset({'REX CASH+CARRY JUMBO SHOPPER'})
0.04834223408989764,frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'})
0.048119715175789946,frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'})
0.04800845571873609,frozenset({'JUMBO BAG WOODLAND ANIMALS'})
0.04773030707610147,frozenset({'CHOCOLATE HOT WATER BOTTLE'})
0.04728526924788607,frozenset({'DOLLY GIRL LUNCH BOX'})
0.04722963951935914,frozenset({'RED TOADSTOOL LED NIGHT LIGHT'})
0.047007120605251446,frozenset({'PLEASE ONE PERSON METAL SIGN'})
0.046395193591455275,frozenset({'SET OF 6 SPICE TINS PANTRY DESIGN'})
